date,rain,maxtp,mintp
01-Sep-18,0.4,20.2,13
02-Sep-18,4.8,19.7,12
03-Sep-18,0,16.8,8.8
04-Sep-18,0,16.3,6.5
05-Sep-18,0,17.4,8.9
06-Sep-18,0.6,16.3,11.9
07-Sep-18,1.1,17.6,10.5
08-Sep-18,11.1,15.7,13
09-Sep-18,1,18.2,9.2
10-Sep-18,1.3,16.3,8.2
11-Sep-18,4.5,16.7,9.9
12-Sep-18,0.1,17,8.1
13-Sep-18,0,15.2,8
14-Sep-18,0.1,17.6,10
15-Sep-18,2.5,16.2,10.5
16-Sep-18,7.2,17.7,9.4
17-Sep-18,12.5,17.1,9.3
18-Sep-18,1,17.8,11.5
19-Sep-18,2.3,14.7,9.4
20-Sep-18,19.2,10.3,6.2
21-Sep-18,0.2,15.1,4.9
22-Sep-18,6.8,10.5,7.3
23-Sep-18,0.2,13.2,6.3
24-Sep-18,0,13.2,4.9
25-Sep-18,0,14.4,5.8
26-Sep-18,0,18.5,9.2
27-Sep-18,0.1,17.9,9.4
28-Sep-18,0,13.9,6.3
29-Sep-18,0,14,4.7
30-Sep-18,0.4,13,7.5
